Date,NQH2O,,"Nasdaq provides either actual historical index values or back-tested histories for certain indexes. All back-tested index values for periods prior to the launch date of an index are merely indicative, and they are provided “AS IS” for informational and educational purposes only.  Nasdaq makes no guarantee as to the accuracy, timeliness, completeness, or fitness for any particular purpose of or for any index values, either historical or back-tested. Nothing contained herein should be construed as investment advice, either on behalf of a particular security or an overall investment strategy. Past performance is not indicative of future results."
8/27/14,386,,
9/3/14,365.83,,
9/10/14,345.67,,
9/17/14,334.16,,
9/24/14,334.31,,
10/1/14,333.92,,
10/8/14,343.05,,
10/15/14,358.5,,
10/22/14,362.15,,
10/29/14,369.28,,
11/5/14,385.99,,
11/12/14,393.29,,
11/19/14,393.24,,
11/26/14,393.25,,
12/3/14,400.33,,
12/10/14,415.56,,
12/17/14,425.52,,
12/24/14,427.34,,
12/31/14,437.54,,
1/7/15,452.95,,
1/14/15,467.16,,
1/21/15,470.76,,
1/28/15,470.39,,
2/4/15,486.03,,
2/11/15,510.43,,
2/18/15,519.19,,
2/25/15,519.36,,
3/4/15,508.79,,
3/11/15,491.88,,
3/18/15,487.3,,
3/25/15,491.83,,
4/1/15,495.58,,
4/8/15,492.3,,
4/15/15,486.28,,
4/22/15,489.66,,
4/29/15,496.63,,
5/6/15,509.62,,
5/13/15,524.36,,
5/20/15,546.21,,
5/27/15,579.93,,
6/3/15,604.44,,
6/10/15,619,,
6/17/15,638.6,,
6/24/15,655.65,,
7/1/15,677.71,,
7/8/15,695.59,,
7/15/15,720.25,,
7/22/15,724.72,,
7/29/15,723.04,,
8/5/15,714.41,,
8/12/15,729.92,,
8/19/15,773.07,,
8/26/15,790.81,,
9/2/15,789.9,,
9/9/15,729.6,,
9/16/15,634.22,,
9/23/15,597.28,,
9/30/15,600.89,,
10/7/15,580.79,,
10/14/15,548.88,,
10/21/15,518.48,,
10/28/15,490.4,,
11/4/15,469.2,,
11/11/15,451.82,,
11/18/15,444.53,,
11/25/15,451.14,,
12/2/15,462.67,,
12/9/15,470.73,,
12/16/15,476.91,,
12/23/15,479.19,,
12/30/15,465.96,,
1/6/16,451.94,,
1/13/16,437.79,,
1/20/16,450.41,,
1/27/16,473.67,,
2/3/16,483.82,,
2/10/16,460.94,,
2/17/16,421.8,,
2/24/16,407.09,,
3/2/16,407.1,,
3/9/16,407.12,,
3/16/16,390.07,,
3/23/16,363.23,,
3/30/16,353.75,,
4/6/16,350.6,,
4/13/16,359.26,,
4/20/16,375.01,,
4/27/16,383.84,,
5/4/16,385.06,,
5/11/16,388.23,,
5/18/16,393.48,,
5/25/16,389.83,,
6/1/16,380.75,,
6/8/16,377.79,,
6/15/16,368.06,,
6/22/16,350.86,,
6/29/16,386.09,,
7/6/16,443.48,,
7/13/16,409.44,,
7/20/16,375.72,,
7/27/16,381.05,,
8/3/16,399.25,,
8/10/16,412.27,,
8/17/16,416.93,,
8/24/16,418.02,,
8/31/16,418.1,,
9/7/16,418.12,,
9/14/16,439.07,,
9/21/16,475.54,,
9/28/16,491.03,,
10/5/16,491.7,,
10/12/16,486.48,,
10/19/16,484.13,,
10/26/16,500.22,,
11/2/16,519.3,,
11/9/16,525.15,,
11/16/16,514.69,,
11/23/16,496.69,,
11/30/16,488.91,,
12/7/16,488.68,,
12/14/16,491.43,,
12/21/16,503.37,,
12/28/16,524.45,End drought,
1/4/17,529.83,,
1/11/17,529.99,,
1/18/17,523.22,,
1/25/17,520.62,,
2/1/17,520.88,,
2/8/17,484.22,,
2/15/17,455.83,,
2/22/17,485.55,,
3/1/17,506.91,,
3/8/17,445.93,,
3/15/17,346.1,,
3/22/17,307.9,,
3/29/17,308.31,,
4/5/17,271.15,,
4/12/17,204.16,,
4/19/17,180.4,,
4/26/17,180.04,,
5/3/17,180.04,,
5/10/17,180.84,,
5/17/17,182.21,,
5/24/17,185.44,,
5/31/17,189.58,,
6/7/17,193.49,,
6/14/17,197.23,,
6/21/17,198.32,,
6/28/17,200.84,,
7/5/17,240.37,,
7/12/17,241.91,,
7/19/17,242.15,,
7/26/17,242.22,,
8/2/17,242.32,,
8/9/17,242.38,,
8/16/17,242.34,,
8/23/17,242.46,,
8/30/17,242.75,,
9/6/17,238.67,,
9/13/17,231.37,,
9/20/17,227.8,,
9/27/17,227.05,,
10/4/17,223.49,,
10/11/17,218.62,,
10/18/17,215.98,,
10/25/17,214.37,,
11/1/17,212.29,,
11/8/17,210.62,,
11/15/17,209.24,,
11/22/17,208.64,,
11/29/17,208.4,,
12/6/17,207.7,,
12/13/17,206.82,,
12/20/17,206.32,,
12/27/17,206.07,,
1/3/18,223.18,,
1/10/18,225.72,,
1/17/18,227.83,,
1/24/18,228.66,,
1/31/18,229.14,,
2/7/18,229.45,,
2/14/18,229.82,,
2/21/18,230.84,,
2/28/18,231.95,,
3/7/18,233.5,,
3/14/18,234.25,,
3/21/18,233.62,,
3/28/18,234.03,,
4/4/18,226.83,,
4/11/18,227.32,,
4/18/18,229.15,,
4/25/18,230.33,,
5/2/18,231.62,,
5/9/18,232.54,,
5/16/18,235.6,,
5/23/18,241.4,,
5/30/18,250.78,,
6/6/18,264.35,,
6/13/18,278.19,,
6/20/18,295.28,,
6/27/18,314.07,,
7/4/18,273.27,,
7/11/18,292.22,,
7/18/18,309.91,,
7/25/18,330.81,,
8/1/18,353.03,,
8/8/18,380.69,,
8/15/18,397.43,,
8/22/18,401.57,,
8/29/18,400.05,,
9/5/18,397.66,,
9/12/18,396.73,,
9/19/18,396.76,,
9/26/18,398.62,,
10/3/18,394.68,,
10/10/18,394.04,,
10/17/18,393.83,,
10/24/18,393.67,,
