"GEO_ID","NAME","B19001_001E","B19001_001M","B19001_002E","B19001_002M","B19001_003E","B19001_003M","B19001_004E","B19001_004M","B19001_005E","B19001_005M","B19001_006E","B19001_006M","B19001_007E","B19001_007M","B19001_008E","B19001_008M","B19001_009E","B19001_009M","B19001_010E","B19001_010M","B19001_011E","B19001_011M","B19001_012E","B19001_012M","B19001_013E","B19001_013M","B19001_014E","B19001_014M","B19001_015E","B19001_015M","B19001_016E","B19001_016M","B19001_017E","B19001_017M"
"id","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Less than $10,000","Margin of Error!!Total:!!Less than $10,000","Estimate!!Total:!!$10,000 to $14,999","Margin of Error!!Total:!!$10,000 to $14,999","Estimate!!Total:!!$15,000 to $19,999","Margin of Error!!Total:!!$15,000 to $19,999","Estimate!!Total:!!$20,000 to $24,999","Margin of Error!!Total:!!$20,000 to $24,999","Estimate!!Total:!!$25,000 to $29,999","Margin of Error!!Total:!!$25,000 to $29,999","Estimate!!Total:!!$30,000 to $34,999","Margin of Error!!Total:!!$30,000 to $34,999","Estimate!!Total:!!$35,000 to $39,999","Margin of Error!!Total:!!$35,000 to $39,999","Estimate!!Total:!!$40,000 to $44,999","Margin of Error!!Total:!!$40,000 to $44,999","Estimate!!Total:!!$45,000 to $49,999","Margin of Error!!Total:!!$45,000 to $49,999","Estimate!!Total:!!$50,000 to $59,999","Margin of Error!!Total:!!$50,000 to $59,999","Estimate!!Total:!!$60,000 to $74,999","Margin of Error!!Total:!!$60,000 to $74,999","Estimate!!Total:!!$75,000 to $99,999","Margin of Error!!Total:!!$75,000 to $99,999","Estimate!!Total:!!$100,000 to $124,999","Margin of Error!!Total:!!$100,000 to $124,999","Estimate!!Total:!!$125,000 to $149,999","Margin of Error!!Total:!!$125,000 to $149,999","Estimate!!Total:!!$150,000 to $199,999","Margin of Error!!Total:!!$150,000 to $199,999","Estimate!!Total:!!$200,000 or more","Margin of Error!!Total:!!$200,000 or more"
"1500000US060379203364","Block Group 4, Census Tract 9203.36, Los Angeles County, California","343","82","9","14","0","12","27","43","33","40","52","51","7","12","8","14","0","12","28","41","43","42","63","56","19","22","54","62","0","12","0","12","0","12"
"1500000US060379203371","Block Group 1, Census Tract 9203.37, Los Angeles County, California","611","104","19","18","0","12","67","60","11","16","42","41","52","53","0","12","72","53","45","46","63","52","48","46","73","50","51","45","62","42","6","10","0","12"
"1500000US060379203372","Block Group 2, Census Tract 9203.37, Los Angeles County, California","416","96","23","36","34","40","0","12","27","42","33","43","6","10","0","12","0","12","52","55","13","20","76","62","61","55","7","11","25","35","18","21","41","36"
"1500000US060379203373","Block Group 3, Census Tract 9203.37, Los Angeles County, California","595","102","61","49","29","28","12","19","40","35","0","12","0","12","33","38","0","12","28","43","31","31","42","42","86","56","66","54","95","45","18","21","54","51"
"1500000US060379203374","Block Group 4, Census Tract 9203.37, Los Angeles County, California","293","101","0","12","51","67","20","32","24","38","0","12","0","12","32","52","27","30","0","12","36","41","9","13","47","51","0","12","17","24","19","23","11","15"
"1500000US060379203381","Block Group 1, Census Tract 9203.38, Los Angeles County, California","1741","40","65","48","29","32","0","17","0","17","34","33","0","17","11","20","24","28","44","40","51","40","26","26","102","55","252","91","152","86","303","87","648","114"
"1500000US060379203391","Block Group 1, Census Tract 9203.39, Los Angeles County, California","2383","128","135","108","0","17","22","34","29","35","20","32","54","60","25","30","21","33","0","17","101","112","97","76","250","102","271","111","195","86","237","102","926","167"
"1500000US060379301011","Block Group 1, Census Tract 9301.01, Los Angeles County, California","35","16","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","4","6","0","12","0","12","0","12","6","10","9","10","0","12","16","10"
"1500000US060379302001","Block Group 1, Census Tract 9302, Los Angeles County, California","104","40","18","22","0","12","0","12","0","12","4","6","11","17","0","12","0","12","10","10","0","12","0","12","4","6","12","19","5","7","31","30","9","9"
"1500000US060379302002","Block Group 2, Census Tract 9302, Los Angeles County, California","43","26","0","12","5","7","5","7","0","12","0","12","0","12","0","12","0","12","0","12","13","21","4","6","5","7","0","12","0","12","0","12","11","18"
